emoji,meaning,weight
🎲,L_game6,0
🎯,L_game7,0
🏈,L_sport1,0
🏀,L_sport2,0
⚽️,L_sport3,0
⚾️,L_sport4,0
🎾,L_sport5,0
🎱,L_sport6,0
🏉,L_sport7,0
🎳,L_sport8,0
⛳️,L_sport9,0
🚵,L_sport10,0
🚵🏻,L_sport10_1,0
🚵🏼,L_sport10_2,0
🚵🏽,L_sport10_3,0
🚵🏾,L_sport10_4,0
🚵🏿,L_sport10_5,0
🚴,L_sport11,0
🚴🏻,L_sport11_1,0
🚴🏼,L_sport11_2,0
🚴🏽,L_sport11_3,0
🚴🏾,L_sport11_4,0
🚴🏿,L_sport11_5,0
🏁,L_sport12,0
🏇,L_sport13,0
🏇🏻,L_sport13_1,0
🏇🏼,L_sport13_2,0
🏇🏽,L_sport13_3,0
🏇🏾,L_sport13_4,0
🏇🏿,L_sport13_5,0
🏆,L_sport14,0
🎿,L_sport15,0
🏂,L_sport16,0
🏊,L_sport17,0
🏊🏻,L_sport17_1,0
🏊🏼,L_sport17_2,0
🏊🏽,L_sport17_3,0
🏊🏾,L_sport17_4,0
🏊🏿,L_sport17_5,0
🏄,L_sport18,0
🏄🏻,L_sport18_1,0
🏄🏼,L_sport18_2,0
🏄🏽,L_sport18_3,0
🏄🏾,L_sport18_4,0
🏄🏿,L_sport18_5,0
🎣,L_sport19,0
☕️,M_fooddrink1,0
🍵,M_fooddrink2,0
🍶,M_fooddrink3,0
🍼,M_fooddrink4,0
🍺,M_fooddrink5,0
🍻,M_fooddrink6,0
🍸,M_fooddrink7,0
🍹,M_fooddrink8,0
🍷,M_fooddrink9,0
🍴,M_fooddrink10,0
🍕,M_fooddrink11,0
🍔,M_fooddrink12,0
🍟,M_fooddrink13,0
🍗,M_fooddrink14,0
🍖,M_fooddrink15,0
🍝,M_fooddrink16,0
🍛,M_fooddrink17,0
🍤,M_fooddrink18,0
🍱,M_fooddrink19,0
🍣,M_fooddrink20,0
🍥,M_fooddrink21,0
🍙,M_fooddrink22,0
🍘,M_fooddrink23,0
🍚,M_fooddrink24,0
🍜,M_fooddrink25,0
🍲,M_fooddrink26,0
🍢,M_fooddrink27,0
🍡,M_fooddrink28,0
🍳,M_fooddrink29,0
🍞,M_fooddrink30,0
🍩,M_fooddrink31,0
🍮,M_fooddrink32,0
🍦,M_fooddrink33,0
🍨,M_fooddrink34,0
🍧,M_fooddrink35,0
🎂,M_fooddrink36,0
🍰,M_fooddrink37,0
🍪,M_fooddrink38,0
🍫,M_fooddrink39,0
🍬,M_fooddrink40,0
🍭,M_fooddrink41,0
🍯,M_fooddrink42,0
🍎,M_fooddrink43,0
🍏,M_fooddrink44,0
🍊,M_fooddrink45,0
🍋,M_fooddrink46,0
🍒,M_fooddrink47,0
🍇,M_fooddrink48,0
🍉,M_fooddrink49,0
🍓,M_fooddrink50,0
🍑,M_fooddrink51,0
🍈,M_fooddrink52,0
🍌,M_fooddrink53,0
🍐,M_fooddrink54,0
🍍,M_fooddrink55,0
� ,M_fooddrink56,0
🍆,M_fooddrink57,0
🍅,M_fooddrink58,0
🌽,M_fooddrink59,0
� ,N_building1,0
🏡,N_building2,0
🏫,N_building3,0
🏢,N_building4,0
🏣,N_building5,0
🏥,N_building6,0
🏦,N_building7,0
🏪,N_building8,0
🏩,N_building9,0
🏨,N_building10,0
💒,N_building11,0
⛪️,N_building12,0
🏬,N_building13,0
🏤,N_building14,0
🌇,N_square1,0
🌆,N_square2,0
🏯,N_square3,0
🏰,N_square4,0
⛺️,N_square5,0
🏭,N_square6,0
🗼,N_square7,0
🗾,N_square8,0
🗻,N_square9,0
🌄,N_square10,0
🌅,N_square11,0
🌃,N_square12,0
🗽,N_square13,0
🌉,N_square14,0
� ,N_square15,0
🎡,N_square16,0
⛲️,N_square17,0
🎢,N_square18,0
🚢,N_square19,0
⛵️,N_vehicle1,0
🚤,N_vehicle2,0
🚣,N_vehicle3,0
⚓️,N_vehicle4,0
🚀,N_vehicle5,0
✈️,N_vehicle6,0
💺,N_vehicle7,0
🚁,N_vehicle8,0
🚂,N_vehicle9,0
🚊,N_vehicle10,0
🚉,N_vehicle11,0
🚞,N_vehicle12,0
🚆,N_vehicle13,0
🚄,N_vehicle14,0
